Named SSEs,	Start, End,	Average date of GPS maximum speed,	Date of maximum moment rate,	Maximum moment rate (×1017 N m d−1),	Total moment release (×1019 N m),	Equivalent moment magnitude, longitude, latitude, depth
2003,2003/04/20,2004/04/20,2003/10/05,-,-,-,-,-,-,
2005,2005/02/01,2006/02/01,2005/06/25,-,-,-,-,-,-,
2007,2007/01/01,2008/01/01,2007/06/29,2007/07/03,2.8,2.2,6.8,-84.94647,10.022,40
2009,2008/08/15,2009/08/15,2009/03/23,2008/12/21,2.9,3.5,7.0,-84.76471,9.850,40
2011,2010/09/01,2011/09/01,2011/03/07,2010/10/24,1.4,2.1,6.8,-84.94374,9.916,35
2012,2011/10/01,2012/09/05,2012/08/03,2012/08/29,2.0,2.7,6.9,-84.71411,9.795,40
2014,2013/07/10,2014/07/10,2014/03/01,2014/03/05,4.0,2.7,6.9,-84.90482,9.989,40
2015,2015/06/01,2016/06/01,2015/10/01,2015/09/07,2.7,3.0,6.9,-84.82309,9.910,40
2017,2017/05/10,2018/05/10,2017/10/10,2017/11/24,6.7,5.5,7.1,-84.79925,9.467,20
2019,2019/05/01,2020/05/01,2019/10/17,2019/11/30,2.2,2.8,6.9,-84.80626,9.844,35