Event,Month,Year,Duration (Days),Depth of Maximum Slip (km),Maximum Slip D (mm),Stress Drop (kPa),Peak Slip Velocity V (cm/yr),Event V/Vo,Downdip Width (km),D/r,Mw,Reference,
Gisborne, Nov, 2004,17,12.0,180,51.7,386.5,193.2,46,7.8E-06,6.3,"Wallace & Beavan, 2010",
Tolaga Bay, Dec, 2004,20,3.5,40,1.4,73.0,36.5,93,8.6E-07,6.0,"Wallace & Beavan, 2010",
S. Hawkes Bay, June, 2006,7,12.0,40,1.9,208.6,104.3,72,1.1E-06,6.1,"Wallace & Beavan, 2010",
Gisborne, July, 2006,6,12.0,40,2.8,243.3,121.7,87,9.2E-07,6.3,"Wallace & Beavan, 2010",
S. Hawkes Bay, August, 2006, 7,9.6,220,19.2,1147.1,573.6,81,5.4E-06,6.6,"Wallace & Beavan, 2010",
N. of Gisborne, Dec, 2007, 34,10.0,90,6.2,96.6,48.3,62,2.9E-06,6.2,"Wallace & Beavan, 2010",
S. Hawkes Bay, March, 2008, 5,12.0,30,1.6,219.0,109.5,52,1.1E-06,6.1,"Wallace & Beavan, 2010",
Mahia, Mar, 2008, 15,12.8,85,4.5,206.8,103.4,78,2.2E-06,6.4,"Wallace & Beavan, 2010",
Tolaga Bay, Aug, 2008, 12,9.0,45,3.3,136.9,68.4,61,1.5E-06,6.1,"Wallace & Beavan, 2010",
Tolaga Bay + Mahia, Feb, 2010, 14,9.0,120,7.4,312.9,156.4,84,2.9E-06,6.4,"Wallace & Beavan, 2010",
Gisborne March, , 2010, 16,13.0,125,8.8,285.2,142.6,70,3.6E-06,6.4,"Wallace & Beavan, 2010",
Cape Turnagain, , 2011, 32,9.6,100,5.1,114.1,57.0,105,1.9E-06,6.5,"Wallace et al., 2012",
Hawkes Bay, , 2011, 20,15.0,40,3.3,73.0,36.5,65,1.2E-06,6.1,"Wallace et al., 2012",
Tolaga Bay, , 2011, 21,12.0,60,6.7,104.3,52.1,36,3.3E-06,5.9,"Wallace et al., 2012",
Gisborne, , 2011, 11,12.0,55,4.3,182.5,91.3,66,1.7E-06,6.2,"Wallace et al., 2012",
Hawkes Bay/Cape Turnagain, , 2013, 12,9.0,240,15.1,730.0,365.0,91,5.3E-06,6.5,"Wallace & Eberhart-Phillips, 2013",
Tolaga Bay, , 2013, 20,9.0,150,15.2,273.8,136.9,52,5.8E-06,6.2,L. Wallace unpublished data,
Gisborne, , 2014, 24,7.0,270,21.7,410.6,205.3,33,1.6E-05,6.5,"Wallace et al., 2016",
East Coast triggered SSE, , 2016, 14,7.5,130,1.5,338.9,169.5,92,2.8E-06,6.8,"Wallace et al., 2017",
Gisborne, Nov, 2004, 17,12.0,180,51.7,386.5,193.2,46,7.8E-06,6.3,"Wallace & Beavan, 2010",